#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
1,1,5,5,1,20,4,300,19.1,0
1,2,5,5,1,20,4,300,16.8,0
1,3,5,5,1,20,4,300,15.6,0
1,4,5,5,1,20,4,300,17.7,0
1,5,5,5,1,20,4,300,14.2,0
1,6,5,5,1,20,4,300,11.4,0
1,7,5,5,1,20,4,300,14.7,0
1,8,5,5,1,20,4,300,14.7,0
1,9,5,5,1,20,4,300,18.6,0
1,10,5,5,1,20,4,300,16.8,0
1,11,5,5,1,20,4,300,17.4,0
1,12,5,5,1,20,4,300,16.3,1
1,13,5,5,1,20,4,300,15.9,1
1,14,5,5,1,20,4,300,15.6,0
1,15,5,5,1,20,4,300,16.9,0
1,16,5,5,1,20,4,300,10.7,0
1,17,5,5,1,20,4,300,13.4,0
1,18,5,5,1,20,4,300,16.1,1
1,19,5,5,1,20,4,300,7.4,0
1,20,5,5,1,20,4,300,16.8,0
1,21,5,5,1,20,4,300,8.1,0
1,22,5,5,1,20,4,300,19.3,1
1,23,5,5,1,20,4,300,16.5,0
1,24,5,5,1,20,4,300,19,0
1,25,5,5,1,20,4,300,14.8,0
2,1,15,15,1,20,4,300,16.9,1
2,2,15,15,1,20,4,300,18.8,0
2,3,15,15,1,20,4,300,17.5,1
2,4,15,15,1,20,4,300,18.7,1
2,5,15,15,1,20,4,300,15.8,1
2,6,15,15,1,20,4,300,15.9,1
2,7,15,15,1,20,4,300,19,1
2,8,15,15,1,20,4,300,17,1
2,9,15,15,1,20,4,300,20.1,1
2,10,15,15,1,20,4,300,18.2,1
2,11,15,15,1,20,4,300,18.2,1
2,12,15,15,1,20,4,300,21.6,1
2,13,15,15,1,20,4,300,22,1
2,14,15,15,1,20,4,300,19,1
2,15,15,15,1,20,4,300,17.2,1
2,16,15,15,1,20,4,300,19.5,1
2,17,15,15,1,20,4,300,20.8,1
2,18,15,15,1,20,4,300,21.1,1
2,19,15,15,1,20,4,300,15.6,1
2,20,15,15,1,20,4,300,19.7,1
2,21,15,15,1,20,4,300,19.3,0
2,22,15,15,1,20,4,300,19.3,1
2,23,15,15,1,20,4,300,19.7,1
2,24,15,15,1,20,4,300,17.1,1
2,25,15,15,1,20,4,300,19.4,1
3,1,25,25,1,20,4,300,17.1,1
3,2,25,25,1,20,4,300,13.4,1
3,3,25,25,1,20,4,300,12.4,1
3,4,25,25,1,20,4,300,15.5,1
3,5,25,25,1,20,4,300,15.8,1
3,6,25,25,1,20,4,300,14.5,1
3,7,25,25,1,20,4,300,16.5,1
3,8,25,25,1,20,4,300,14.6,1
3,9,25,25,1,20,4,300,20.9,1
3,10,25,25,1,20,4,300,15.5,1
3,11,25,25,1,20,4,300,16.1,1
3,12,25,25,1,20,4,300,14.3,1
3,13,25,25,1,20,4,300,13.6,1
3,14,25,25,1,20,4,300,13.5,1
3,15,25,25,1,20,4,300,14.4,1
3,16,25,25,1,20,4,300,14.9,1
3,17,25,25,1,20,4,300,14.9,1
3,18,25,25,1,20,4,300,17.5,1
3,19,25,25,1,20,4,300,18.5,1
3,20,25,25,1,20,4,300,14.1,1
3,21,25,25,1,20,4,300,17,1
3,22,25,25,1,20,4,300,14.8,1
3,23,25,25,1,20,4,300,15.7,1
3,24,25,25,1,20,4,300,12,1
3,25,25,25,1,20,4,300,16.5,1
4,1,35,35,1,20,4,300,11.7,1
4,2,35,35,1,20,4,300,13.8,1
4,3,35,35,1,20,4,300,15.3,1
4,4,35,35,1,20,4,300,13.4,1
4,5,35,35,1,20,4,300,13.3,1
4,6,35,35,1,20,4,300,12.3,1
4,7,35,35,1,20,4,300,14.2,1
4,8,35,35,1,20,4,300,15.2,1
4,9,35,35,1,20,4,300,18.6,1
4,10,35,35,1,20,4,300,17.5,1
4,11,35,35,1,20,4,300,15.5,1
4,12,35,35,1,20,4,300,13.2,1
4,13,35,35,1,20,4,300,11.3,1
4,14,35,35,1,20,4,300,16,1
4,15,35,35,1,20,4,300,12.5,1
4,16,35,35,1,20,4,300,13.4,1
4,17,35,35,1,20,4,300,13.2,1
4,18,35,35,1,20,4,300,13.1,1
4,19,35,35,1,20,4,300,14.3,1
4,20,35,35,1,20,4,300,14.8,1
4,21,35,35,1,20,4,300,14.4,1
4,22,35,35,1,20,4,300,14.3,1
4,23,35,35,1,20,4,300,15,1
4,24,35,35,1,20,4,300,14.9,1
4,25,35,35,1,20,4,300,19.5,1
5,1,45,45,1,20,4,300,15.3,1
5,2,45,45,1,20,4,300,14.5,1
5,3,45,45,1,20,4,300,13.6,1
5,4,45,45,1,20,4,300,12.7,1
5,5,45,45,1,20,4,300,12.6,1
5,6,45,45,1,20,4,300,12.4,1
5,7,45,45,1,20,4,300,15.4,1
5,8,45,45,1,20,4,300,13.2,1
5,9,45,45,1,20,4,300,14.1,1
5,10,45,45,1,20,4,300,13.4,1
5,11,45,45,1,20,4,300,12.9,1
5,12,45,45,1,20,4,300,15.8,1
5,13,45,45,1,20,4,300,13.5,1
5,14,45,45,1,20,4,300,15.6,1
5,15,45,45,1,20,4,300,13.4,1
5,16,45,45,1,20,4,300,15.9,1
5,17,45,45,1,20,4,300,13.8,1
5,18,45,45,1,20,4,300,14.6,1
5,19,45,45,1,20,4,300,13.4,1
5,20,45,45,1,20,4,300,12.5,1
5,21,45,45,1,20,4,300,13.8,1
5,22,45,45,1,20,4,300,13.3,1
5,23,45,45,1,20,4,300,13.3,1
5,24,45,45,1,20,4,300,12.8,1
5,25,45,45,1,20,4,300,15,1
6,1,55,55,1,20,4,300,14.7,1
6,2,55,55,1,20,4,300,14.4,1
6,3,55,55,1,20,4,300,14.1,1
6,4,55,55,1,20,4,300,12.7,1
6,5,55,55,1,20,4,300,14.8,1
6,6,55,55,1,20,4,300,12.7,1
6,7,55,55,1,20,4,300,15.1,1
6,8,55,55,1,20,4,300,13.8,1
6,9,55,55,1,20,4,300,13.8,1
6,10,55,55,1,20,4,300,16.2,1
6,11,55,55,1,20,4,300,13.4,1
6,12,55,55,1,20,4,300,13.7,1
6,13,55,55,1,20,4,300,17.9,1
6,14,55,55,1,20,4,300,14.6,1
6,15,55,55,1,20,4,300,13.3,1
6,16,55,55,1,20,4,300,13.5,1
6,17,55,55,1,20,4,300,13.2,1
6,18,55,55,1,20,4,300,12.9,1
6,19,55,55,1,20,4,300,13.5,1
6,20,55,55,1,20,4,300,13.4,1
6,21,55,55,1,20,4,300,16.5,1
6,22,55,55,1,20,4,300,15.2,1
6,23,55,55,1,20,4,300,13.9,1
6,24,55,55,1,20,4,300,15.1,1
6,25,55,55,1,20,4,300,14.7,1
7,1,5,5,1,50,10,300,22.8,0
7,2,5,5,1,50,10,300,27,0
7,3,5,5,1,50,10,300,25.4,0
7,4,5,5,1,50,10,300,27.8,0
7,5,5,5,1,50,10,300,25,0
7,6,5,5,1,50,10,300,24.7,0
7,7,5,5,1,50,10,300,28.1,0
7,8,5,5,1,50,10,300,26,0
7,9,5,5,1,50,10,300,24.2,0
7,10,5,5,1,50,10,300,24.5,0
7,11,5,5,1,50,10,300,20.6,0
7,12,5,5,1,50,10,300,23,0
7,13,5,5,1,50,10,300,32,0
7,14,5,5,1,50,10,300,25.4,0
7,15,5,5,1,50,10,300,27.9,0
7,16,5,5,1,50,10,300,35.1,0
7,17,5,5,1,50,10,300,28.9,0
7,18,5,5,1,50,10,300,40.5,0
7,19,5,5,1,50,10,300,29.1,0
7,20,5,5,1,50,10,300,22.8,0
7,21,5,5,1,50,10,300,23.4,0
7,22,5,5,1,50,10,300,24.6,0
7,23,5,5,1,50,10,300,20.8,0
