#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
1,1,10,40,0.5,100,20,300,40.6,0
1,2,10,40,0.5,100,20,300,40.7,0
1,3,10,40,0.5,100,20,300,42.6,0
1,4,10,40,0.5,100,20,300,43.4,0
1,5,10,40,0.5,100,20,300,44.4,0
1,6,10,40,0.5,100,20,300,42.2,0
1,7,10,40,0.5,100,20,300,41,0
1,8,10,40,0.5,100,20,300,41,0
1,9,10,40,0.5,100,20,300,40.4,0
1,10,10,40,0.5,100,20,300,40.5,0
1,11,10,40,0.5,100,20,300,41.2,0
1,12,10,40,0.5,100,20,300,40.4,0
1,13,10,40,0.5,100,20,300,39.6,0
1,14,10,40,0.5,100,20,300,40.4,0
1,15,10,40,0.5,100,20,300,39.8,0
1,16,10,40,0.5,100,20,300,44.6,0
1,17,10,40,0.5,100,20,300,40.7,0
1,18,10,40,0.5,100,20,300,42.5,0
1,19,10,40,0.5,100,20,300,39.4,0
1,20,10,40,0.5,100,20,300,40.5,0
1,21,10,40,0.5,100,20,300,41.3,0
1,22,10,40,0.5,100,20,300,40.9,0
1,23,10,40,0.5,100,20,300,43.6,0
1,24,10,40,0.5,100,20,300,41.3,0
1,25,10,40,0.5,100,20,300,41.7,0
2,1,20,40,0.5,100,20,300,43.3,0
2,2,20,40,0.5,100,20,300,44.8,0
2,3,20,40,0.5,100,20,300,40.1,0
2,4,20,40,0.5,100,20,300,44.7,0
2,5,20,40,0.5,100,20,300,40.7,0
2,6,20,40,0.5,100,20,300,42.1,0
2,7,20,40,0.5,100,20,300,40.6,0
2,8,20,40,0.5,100,20,300,44,0
2,9,20,40,0.5,100,20,300,48.5,0
2,10,20,40,0.5,100,20,300,42,0
2,11,20,40,0.5,100,20,300,45.3,0
2,12,20,40,0.5,100,20,300,43.5,0
2,13,20,40,0.5,100,20,300,45.8,0
2,14,20,40,0.5,100,20,300,41.7,0
2,15,20,40,0.5,100,20,300,40.9,0
2,16,20,40,0.5,100,20,300,40.4,0
2,17,20,40,0.5,100,20,300,49.1,0
2,18,20,40,0.5,100,20,300,40,0
2,19,20,40,0.5,100,20,300,47.1,0
2,20,20,40,0.5,100,20,300,43.6,0
2,21,20,40,0.5,100,20,300,40.4,0
2,22,20,40,0.5,100,20,300,41.1,0
2,23,20,40,0.5,100,20,300,41.8,0
2,24,20,40,0.5,100,20,300,43.1,0
2,25,20,40,0.5,100,20,300,41,0
3,1,30,40,0.5,100,20,300,46.2,0
3,2,30,40,0.5,100,20,300,48.1,0
3,3,30,40,0.5,100,20,300,41.6,0
3,4,30,40,0.5,100,20,300,46.7,0
3,5,30,40,0.5,100,20,300,46.6,0
3,6,30,40,0.5,100,20,300,45,0
3,7,30,40,0.5,100,20,300,47.6,0
3,8,30,40,0.5,100,20,300,45.8,0
3,9,30,40,0.5,100,20,300,41.4,0
3,10,30,40,0.5,100,20,300,40.2,0
