#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
1,1,5,30,1,100,20,60,41.1,0
1,2,5,30,1,100,20,60,42.9,0
1,3,5,30,1,100,20,60,42.3,0
1,4,5,30,1,100,20,60,40.4,0
1,5,5,30,1,100,20,60,42.5,0
1,6,5,30,1,100,20,60,42.1,0
1,7,5,30,1,100,20,60,42,0
1,8,5,30,1,100,20,60,42,0
1,9,5,30,1,100,20,60,41.4,0
1,10,5,30,1,100,20,60,43.1,0
1,11,5,30,1,100,20,60,39.3,0
1,12,5,30,1,100,20,60,44.1,0
1,13,5,30,1,100,20,60,40.3,0
1,14,5,30,1,100,20,60,41.6,0
1,15,5,30,1,100,20,60,41.1,0
1,16,5,30,1,100,20,60,43.3,0
1,17,5,30,1,100,20,60,45.5,0
1,18,5,30,1,100,20,60,40.8,0
1,19,5,30,1,100,20,60,44.4,0
1,20,5,30,1,100,20,60,42,0
1,21,5,30,1,100,20,60,40.6,0
1,22,5,30,1,100,20,60,39.4,0
1,23,5,30,1,100,20,60,40.2,0
1,24,5,30,1,100,20,60,41.8,0
1,25,5,30,1,100,20,60,43.3,0
2,1,10,30,1,100,20,60,46,0
2,2,10,30,1,100,20,60,44.6,0
2,3,10,30,1,100,20,60,40.1,0
2,4,10,30,1,100,20,60,48.5,0
2,5,10,30,1,100,20,60,46,0
2,6,10,30,1,100,20,60,44.3,0
2,7,10,30,1,100,20,60,43.3,0
2,8,10,30,1,100,20,60,41.4,0
2,9,10,30,1,100,20,60,49.4,0
2,10,10,30,1,100,20,60,43.6,0
2,11,10,30,1,100,20,60,43.2,0
2,12,10,30,1,100,20,60,45.3,0
2,13,10,30,1,100,20,60,43,0
2,14,10,30,1,100,20,60,41.8,0
2,15,10,30,1,100,20,60,43.3,0
2,16,10,30,1,100,20,60,42.5,0
2,17,10,30,1,100,20,60,43.5,0
2,18,10,30,1,100,20,60,45.5,0
2,19,10,30,1,100,20,60,42.8,0
2,20,10,30,1,100,20,60,42.8,0
2,21,10,30,1,100,20,60,42.8,0
2,22,10,30,1,100,20,60,44.9,0
2,23,10,30,1,100,20,60,42.1,0
2,24,10,30,1,100,20,60,46.4,0
2,25,10,30,1,100,20,60,40.2,0
3,1,15,30,1,100,20,60,42.9,0
3,2,15,30,1,100,20,60,48.3,0
3,3,15,30,1,100,20,60,43.3,0
3,4,15,30,1,100,20,60,43.3,0
3,5,15,30,1,100,20,60,45.7,0
3,6,15,30,1,100,20,60,42.1,0
3,7,15,30,1,100,20,60,53.7,0
3,8,15,30,1,100,20,60,41.5,0
3,9,15,30,1,100,20,60,45.8,0
3,10,15,30,1,100,20,60,46.9,0
3,11,15,30,1,100,20,60,47.6,0
3,12,15,30,1,100,20,60,40.2,0
3,13,15,30,1,100,20,60,44.6,0
3,14,15,30,1,100,20,60,48.2,0
3,15,15,30,1,100,20,60,42.2,0
3,16,15,30,1,100,20,60,60,2
3,17,15,30,1,100,20,60,45.5,0
3,18,15,30,1,100,20,60,45.7,0
3,19,15,30,1,100,20,60,41.4,0
3,20,15,30,1,100,20,60,43,0
3,21,15,30,1,100,20,60,49.9,0
3,22,15,30,1,100,20,60,44.8,0
3,23,15,30,1,100,20,60,47.9,0
3,24,15,30,1,100,20,60,42.8,0
3,25,15,30,1,100,20,60,44.4,0
4,1,20,30,1,100,20,60,42.4,0
4,2,20,30,1,100,20,60,48.5,0
4,3,20,30,1,100,20,60,44.8,0
4,4,20,30,1,100,20,60,50.6,0
4,5,20,30,1,100,20,60,41.6,0
4,6,20,30,1,100,20,60,50.2,0
4,7,20,30,1,100,20,60,60,2
4,8,20,30,1,100,20,60,41.6,0
4,9,20,30,1,100,20,60,46.5,0
4,10,20,30,1,100,20,60,41.1,0
4,11,20,30,1,100,20,60,46.2,0
