#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
1,1,5,5,1,50,10,60,23.7,0
1,2,5,5,1,50,10,60,28.5,0
1,3,5,5,1,50,10,60,31.4,0
1,4,5,5,1,50,10,60,28.4,0
1,5,5,5,1,50,10,60,23.5,0
1,6,5,5,1,50,10,60,29.1,0
1,7,5,5,1,50,10,60,28.7,0
1,8,5,5,1,50,10,60,27,0
1,9,5,5,1,50,10,60,32.1,0
1,10,5,5,1,50,10,60,30.8,0
1,11,5,5,1,50,10,60,34.2,0
1,12,5,5,1,50,10,60,35.9,0
1,13,5,5,1,50,10,60,24.1,0
1,14,5,5,1,50,10,60,32.2,0
1,15,5,5,1,50,10,60,20.2,1
1,16,5,5,1,50,10,60,26.7,0
1,17,5,5,1,50,10,60,24.3,0
1,18,5,5,1,50,10,60,23.2,0
1,19,5,5,1,50,10,60,26.4,0
1,20,5,5,1,50,10,60,24.6,0
1,21,5,5,1,50,10,60,25.3,0
1,22,5,5,1,50,10,60,22.9,0
1,23,5,5,1,50,10,60,23.4,0
1,24,5,5,1,50,10,60,27.1,1
1,25,5,5,1,50,10,60,23.3,0
2,1,15,15,1,50,10,60,39,0
2,2,15,15,1,50,10,60,36.2,0
2,3,15,15,1,50,10,60,29.6,0
2,4,15,15,1,50,10,60,30.4,1
2,5,15,15,1,50,10,60,21.1,0
2,6,15,15,1,50,10,60,36,1
2,7,15,15,1,50,10,60,26.3,0
2,8,15,15,1,50,10,60,29.9,1
2,9,15,15,1,50,10,60,28,0
2,10,15,15,1,50,10,60,25.8,0
2,11,15,15,1,50,10,60,30.5,1
2,12,15,15,1,50,10,60,28.3,0
2,13,15,15,1,50,10,60,22.2,0
2,14,15,15,1,50,10,60,23.3,0
2,15,15,15,1,50,10,60,35.4,0
2,16,15,15,1,50,10,60,29.3,1
2,17,15,15,1,50,10,60,29.9,0
2,18,15,15,1,50,10,60,26.2,0
2,19,15,15,1,50,10,60,37,1
2,20,15,15,1,50,10,60,24.7,0
2,21,15,15,1,50,10,60,32.4,1
2,22,15,15,1,50,10,60,27.2,0
2,23,15,15,1,50,10,60,27.4,0
2,24,15,15,1,50,10,60,35.7,1
2,25,15,15,1,50,10,60,28.5,1
3,1,25,25,1,50,10,60,21.8,0
3,2,25,25,1,50,10,60,26.3,1
3,3,25,25,1,50,10,60,30.1,1
3,4,25,25,1,50,10,60,32.1,1
3,5,25,25,1,50,10,60,26.5,1
3,6,25,25,1,50,10,60,27.5,1
3,7,25,25,1,50,10,60,32.3,1
3,8,25,25,1,50,10,60,35.2,1
3,9,25,25,1,50,10,60,26.1,1
3,10,25,25,1,50,10,60,37.7,1
3,11,25,25,1,50,10,60,23.4,1
3,12,25,25,1,50,10,60,32.5,1
3,13,25,25,1,50,10,60,33.6,1
3,14,25,25,1,50,10,60,28.2,1
3,15,25,25,1,50,10,60,34.6,1
3,16,25,25,1,50,10,60,31,1
3,17,25,25,1,50,10,60,28.8,1
3,18,25,25,1,50,10,60,23,0
3,19,25,25,1,50,10,60,27.9,1
3,20,25,25,1,50,10,60,32.7,1
3,21,25,25,1,50,10,60,29.5,1
3,22,25,25,1,50,10,60,31.6,1
3,23,25,25,1,50,10,60,30.9,1
3,24,25,25,1,50,10,60,27,0
3,25,25,25,1,50,10,60,33.7,1
4,1,35,35,1,50,10,60,27.2,1
4,2,35,35,1,50,10,60,30.2,1
4,3,35,35,1,50,10,60,26.2,1
4,4,35,35,1,50,10,60,31.1,1
4,5,35,35,1,50,10,60,25.5,1
4,6,35,35,1,50,10,60,27.3,1
4,7,35,35,1,50,10,60,23.2,1
4,8,35,35,1,50,10,60,26.4,1
4,9,35,35,1,50,10,60,29.4,1
4,10,35,35,1,50,10,60,31.2,1
4,11,35,35,1,50,10,60,21.9,1
4,12,35,35,1,50,10,60,26.5,1
4,13,35,35,1,50,10,60,25.4,1
4,14,35,35,1,50,10,60,35.5,1
4,15,35,35,1,50,10,60,27.2,1
4,16,35,35,1,50,10,60,24.2,1
4,17,35,35,1,50,10,60,25.6,1
4,18,35,35,1,50,10,60,25.2,1
4,19,35,35,1,50,10,60,29,1
4,20,35,35,1,50,10,60,24.1,1
4,21,35,35,1,50,10,60,34.1,1
4,22,35,35,1,50,10,60,24.4,1
4,23,35,35,1,50,10,60,29.1,1
4,24,35,35,1,50,10,60,30.7,1
4,25,35,35,1,50,10,60,27.6,1
5,1,45,45,1,50,10,60,24.8,1
5,2,45,45,1,50,10,60,24.7,1
5,3,45,45,1,50,10,60,22.7,1
5,4,45,45,1,50,10,60,25.5,1
5,5,45,45,1,50,10,60,27.2,1
5,6,45,45,1,50,10,60,23.5,1
5,7,45,45,1,50,10,60,22.7,1
5,8,45,45,1,50,10,60,25.7,1
5,9,45,45,1,50,10,60,22.7,1
5,10,45,45,1,50,10,60,25.7,1
5,11,45,45,1,50,10,60,22.8,1
5,12,45,45,1,50,10,60,24.4,1
5,13,45,45,1,50,10,60,24.2,1
5,14,45,45,1,50,10,60,28.9,1
5,15,45,45,1,50,10,60,27,1
5,16,45,45,1,50,10,60,24.1,1
5,17,45,45,1,50,10,60,28.2,1
5,18,45,45,1,50,10,60,29.3,1
5,19,45,45,1,50,10,60,23.9,1
5,20,45,45,1,50,10,60,21.3,1
5,21,45,45,1,50,10,60,24,1
5,22,45,45,1,50,10,60,24.3,1
5,23,45,45,1,50,10,60,25.8,1
5,24,45,45,1,50,10,60,23.1,1
5,25,45,45,1,50,10,60,26.7,1
6,1,55,55,1,50,10,60,26.1,1
6,2,55,55,1,50,10,60,26,1
6,3,55,55,1,50,10,60,21.7,1
6,4,55,55,1,50,10,60,27,1
6,5,55,55,1,50,10,60,25,1
6,6,55,55,1,50,10,60,25.2,1
6,7,55,55,1,50,10,60,22.2,1
6,8,55,55,1,50,10,60,26.4,1
6,9,55,55,1,50,10,60,24.8,1
6,10,55,55,1,50,10,60,23.6,1
6,11,55,55,1,50,10,60,25.7,1
6,12,55,55,1,50,10,60,23.8,1
6,13,55,55,1,50,10,60,25.4,1
6,14,55,55,1,50,10,60,26,1
6,15,55,55,1,50,10,60,24.5,1
6,16,55,55,1,50,10,60,23.4,1
6,17,55,55,1,50,10,60,22.3,1
6,18,55,55,1,50,10,60,22.9,1
