#_Bundle,#_Iteration,#_Agents,#_Attackers,Linar_Speed,Field_Len,Pzone_Len,Sim_Time,defense_time,Result
1,1,30,30,0.5,100,20,60,44.4,0
1,2,30,30,0.5,100,20,60,41,0
1,3,30,30,0.5,100,20,60,49.7,0
1,4,30,30,0.5,100,20,60,42,0
1,5,30,30,0.5,100,20,60,46.2,0
1,6,30,30,0.5,100,20,60,53.9,0
1,7,30,30,0.5,100,20,60,39.3,0
1,8,30,30,0.5,100,20,60,51.1,0
1,9,30,30,0.5,100,20,60,42.2,0
1,10,30,30,0.5,100,20,60,44.5,0
1,11,30,30,0.5,100,20,60,41.1,0
1,12,30,30,0.5,100,20,60,49.3,0
1,13,30,30,0.5,100,20,60,47,0
1,14,30,30,0.5,100,20,60,41.6,0
1,15,30,30,0.5,100,20,60,47.2,0
1,16,30,30,0.5,100,20,60,46,0
1,17,30,30,0.5,100,20,60,40.8,0
1,18,30,30,0.5,100,20,60,41.1,0
1,19,30,30,0.5,100,20,60,40.1,0
1,20,30,30,0.5,100,20,60,45.9,0
1,21,30,30,0.5,100,20,60,45.2,0
1,22,30,30,0.5,100,20,60,46.6,0
1,23,30,30,0.5,100,20,60,57.6,1
1,24,30,30,0.5,100,20,60,42,0
1,25,30,30,0.5,100,20,60,43.5,0
2,1,30,30,0.6,100,20,60,43.5,0
2,2,30,30,0.6,100,20,60,44.7,0
2,3,30,30,0.6,100,20,60,40.9,0
2,4,30,30,0.6,100,20,60,47.9,0
2,5,30,30,0.6,100,20,60,49,0
2,6,30,30,0.6,100,20,60,40.2,0
2,7,30,30,0.6,100,20,60,53.4,0
2,8,30,30,0.6,100,20,60,45.1,0
2,9,30,30,0.6,100,20,60,47,0
2,10,30,30,0.6,100,20,60,44.5,0
2,11,30,30,0.6,100,20,60,42.5,0
2,12,30,30,0.6,100,20,60,42.7,0
2,13,30,30,0.6,100,20,60,41.8,0
2,14,30,30,0.6,100,20,60,42.2,0
2,15,30,30,0.6,100,20,60,42.3,0
2,16,30,30,0.6,100,20,60,54.2,0
2,17,30,30,0.6,100,20,60,43.7,0
2,18,30,30,0.6,100,20,60,48.2,0
2,19,30,30,0.6,100,20,60,46.8,0
2,20,30,30,0.6,100,20,60,50.4,0
2,21,30,30,0.6,100,20,60,43.6,0
2,22,30,30,0.6,100,20,60,50,0
2,23,30,30,0.6,100,20,60,47.5,0
2,24,30,30,0.6,100,20,60,42.5,0
2,25,30,30,0.6,100,20,60,40.8,0
3,1,30,30,0.7,100,20,60,43.3,0
3,2,30,30,0.7,100,20,60,44.5,0
3,3,30,30,0.7,100,20,60,41.6,0
3,4,30,30,0.7,100,20,60,44.4,0
3,5,30,30,0.7,100,20,60,55.6,1
3,6,30,30,0.7,100,20,60,52.7,0
3,7,30,30,0.7,100,20,60,60,2
3,8,30,30,0.7,100,20,60,59,1
3,9,30,30,0.7,100,20,60,40.9,0
3,10,30,30,0.7,100,20,60,42.4,0
3,11,30,30,0.7,100,20,60,46.5,0
3,12,30,30,0.7,100,20,60,54.4,0
3,13,30,30,0.7,100,20,60,46.1,0
3,14,30,30,0.7,100,20,60,53,0
3,15,30,30,0.7,100,20,60,44.7,0
3,16,30,30,0.7,100,20,60,53.1,0
3,17,30,30,0.7,100,20,60,44.7,0
3,18,30,30,0.7,100,20,60,50.4,0
3,19,30,30,0.7,100,20,60,46.5,0
3,20,30,30,0.7,100,20,60,60,2
3,21,30,30,0.7,100,20,60,43.1,0
3,22,30,30,0.7,100,20,60,43.7,0
3,23,30,30,0.7,100,20,60,52.7,0
3,24,30,30,0.7,100,20,60,41.3,0
3,25,30,30,0.7,100,20,60,40.6,0
4,1,30,30,0.8,100,20,60,52.1,0
4,2,30,30,0.8,100,20,60,45.4,0
4,3,30,30,0.8,100,20,60,49.8,1
4,4,30,30,0.8,100,20,60,44.6,0
4,5,30,30,0.8,100,20,60,46.2,0
4,6,30,30,0.8,100,20,60,51,0
